userid,movieid,rating,predict,miss
1,589,3.0,3.7,0.7
1,592,3.0,4.3,1.3
1,597,4.0,3.3,0.7
1,648,5.0,4.2,0.8
2,553,5.0,3.1,1.9
2,588,4.0,3.7,0.3
2,590,4.0,3.9,0.1
2,593,5.0,4.3,0.7
2,595,5.0,4.3,0.7
5,1129,4.0,4.5,0.5
5,1130,3.0,2.4,0.6
5,1132,4.0,4.4,0.4
5,1136,5.0,4.8,0.2
5,1161,4.0,3.9,0.1
5,1162,4.0,3.4,0.6
5,1171,5.0,4.7,0.3
5,1172,3.0,5.2,2.2
5,1175,5.0,4.4,0.6
5,1179,4.0,4.0,0.0
5,1186,4.0,4.0,0.0
5,1187,3.0,4.5,1.5
5,1189,5.0,4.2,0.8
5,1190,3.0,4.9,1.9
5,1191,4.0,3.8,0.2
5,1192,5.0,4.4,0.6
5,1193,4.0,4.4,0.4
5,1196,3.0,3.3,0.3
5,1197,3.0,4.5,1.5
5,1198,4.0,5.3,1.3
5,1199,5.0,4.8,0.2
6,1059,5.0,4.2,0.8
6,1060,4.0,3.5,0.5
6,1073,4.0,3.4,0.6
6,1097,3.5,4.0,0.5
6,1101,4.0,4.0,0.0
6,1148,4.0,4.8,0.8
6,1196,5.0,3.9,1.1
8,1094,3.5,3.3,0.2
8,1097,3.0,3.3,0.3
8,1101,3.0,2.8,0.2
8,1125,4.5,3.0,1.5
8,1136,5.0,4.7,0.3
8,1175,4.5,4.2,0.3
8,1193,4.5,4.0,0.5
8,1196,4.0,4.2,0.2
8,1197,2.0,3.8,1.8
8,1198,4.0,5.0,1.0
8,1199,4.5,4.2,0.3
9,1090,5.0,3.5,1.5
9,1093,4.0,3.8,0.2
9,1103,3.0,4.6,1.6
9,1104,5.0,5.1,0.1
9,1179,4.0,3.9,0.1
11,1093,2.0,2.9,0.9
11,1095,3.0,4.1,1.1
11,1097,4.0,2.2,1.8
11,1127,3.0,2.3,0.7
11,1129,3.0,2.4,0.6
11,1131,4.0,2.7,1.3
11,1132,4.0,3.7,0.3
11,1147,4.0,3.6,0.4
11,1148,4.0,3.7,0.3
11,1171,3.0,3.7,0.7
11,1190,3.0,3.6,0.6
11,1193,3.0,3.2,0.2
11,1196,4.0,1.6,2.4
11,1197,4.0,3.3,0.7
11,1198,5.0,3.4,1.6
11,1199,4.0,3.7,0.3
12,780,5.0,2.9,2.1
12,921,3.0,4.4,1.4
12,1061,3.0,4.4,1.4
12,1073,4.0,3.9,0.1
13,661,3.5,3.6,0.1
14,592,4.0,3.7,0.3
14,593,5.0,3.8,1.2
14,595,4.0,4.6,0.6
18,595,3.0,4.3,1.3
18,597,3.0,3.5,0.5
19,1128,3.0,3.3,0.3
19,1130,4.0,2.4,1.6
20,1193,5.0,4.9,0.1
22,1198,3.5,5.5,2.0
23,590,5.0,5.4,0.4
23,592,5.0,4.4,0.6
23,593,5.0,4.5,0.5
24,1047,1.0,3.2,2.2
24,1060,3.5,3.6,0.1
24,1088,1.5,3.9,2.4
24,1185,3.0,2.9,0.1
25,1136,5.0,4.0,1.0
25,1193,4.5,3.0,1.5
26,1061,3.0,3.9,0.9
26,1086,4.0,4.5,0.5
26,1094,4.0,4.5,0.5
26,1120,4.0,3.6,0.4
27,596,4.0,3.5,0.5
27,597,3.0,3.1,0.1
27,631,3.0,4.2,1.2
27,688,3.0,4.2,1.2
28,1199,5.0,5.5,0.5
29,665,4.0,4.2,0.2
29,712,3.0,3.5,0.5
29,718,4.0,5.4,1.4
29,736,4.0,2.7,1.3
29,768,1.0,5.1,4.1
30,1135,5.0,3.7,1.3
30,1196,5.0,4.5,0.5
31,1136,4.0,4.9,0.9
31,1193,4.0,4.1,0.1
31,1196,4.5,3.4,1.1
